,Id,Sales_x,Sales_y
0,25686,6123.8408203125,8361.7
1,18001,7617.7373046875,7915.7
2,23263,10547.2548828125,3588.0
3,11301,6743.62158203125,9472.8
4,32719,7846.9306640625,10737.0
5,34469,9895.4853515625,12701.7
6,13092,7354.83935546875,10041.3
7,37062,6636.099609375,9774.1
8,24225,14795.1220703125,6573.1
9,7972,6372.5537109375,8267.8
10,15699,4422.75830078125,5630.4
11,29412,6664.85986328125,12213.1
12,32844,8541.1884765625,10050.9
13,28572,4735.169921875,6720.1
14,37135,6820.82177734375,5952.4
15,25167,5205.2412109375,14470.3
16,20906,13406.845703125,8298.9
17,28610,11606.25390625,10546.5
18,14081,8259.287109375,5420.5
19,14952,6468.1953125,10275.2
20,26947,11876.60546875,5691.9
21,16685,8687.060546875,11499.4
22,3864,9120.2353515625,11570.8
23,22696,5212.5,14191.7
24,23556,4060.455078125,5840.1
25,3900,7725.849609375,5260.7
26,4757,1864.6226806640625,12847.4
27,3915,10493.0927734375,7858.7
28,17617,7000.8291015625,6322.2
29,31313,6425.3671875,6202.4
30,37330,4172.115234375,12466.2
31,14238,7650.54736328125,6710.1
32,22829,9309.6318359375,11650.3
33,29688,7235.4541015625,6205.5
34,4872,6251.20361328125,10720.9
35,4882,8124.4013671875,11183.0
36,2325,5930.9287109375,13562.6
37,14365,7441.2138671875,9071.8
38,9291,6742.93994140625,6937.8
39,11003,6743.705078125,10594.3
40,40122,10312.8251953125,5276.7
41,7632,5534.201171875,8349.6
42,14489,8360.8427734375,7725.6
43,24817,5203.2255859375,4892.2
44,40230,3692.41162109375,10208.0
